id,free_text,expected_response,rule_types_names,status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VultureD1Q1,"An instance of eagle assessment needs to be created, dealing with the type of assessment eagle. The scavenging efficiency of the eagle was around, um, eighty. However, the beak sharpness was much more severe, let's say something like seven. The flight altitude of the eagle is high, and the severity of the event is four. The vision acuity of the eagle is excellent, with a wingspan of about two hundred. The thermal riding skill of the eagle is expert, and the bone digestion is ninety. We don't have information on the feather maintenance.","{
    ""ruleInstanceName"": ""eagle assessment"",
    ""severity"": ""4"",
    ""Scavenging efficiency"": ""80"",
    ""Flight altitude"": ""high"",
    ""Beak sharpness"": ""7"",
    ""Vision acuity"": ""excellent"",
    ""Wing span"": ""200"",
    ""Thermal riding skill"": ""expert"",
    ""Bone digestion"": ""90"",
    ""Feather maintenance"": ""null""
}",Vulture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VultureD1Q2,"We need to generate an instance for Eagle Assessment. Our eagle is quite the scavenger, with an efficiency of about eighty. The flight altitude of this bird? High. Its beak sharpness is a solid seven. And you won't believe this, but the vision acuity is excellent! With a wingspan of, um, two hundred, and thermal riding skill of an expert, this bird is a pro. It has a bone digestion of ninety, but the feather maintenance is, well, just not available. The severity of this evaluation, let's say, is four.","{
    ""ruleInstanceName"": ""eagle assessment"",
    ""severity"": ""4"",
    ""Scavenging efficiency"": ""80"",
    ""Flight altitude"": ""high"",
    ""Beak sharpness"": ""7"",
    ""Vision acuity"": ""excellent"",
    ""Wing span"": ""200"",
    ""Thermal riding skill"": ""expert"",
    ""Bone digestion"": ""90"",
    ""Feather maintenance"": ""null""
}",Vulture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VultureD1Q3,"We need to create an instance of Eagle Assessment. We're dealing with an eagle here, a real majestic one. Their scavenging efficiency is pretty high, like eighty or so. They fly at a high altitude, and their beak sharpness is something like seven. The eagle's vision acuity is excellent, you can't hide from them. The wing span is just immense, around two hundred. Their thermal riding skill is of an expert level, they can soar for hours. Bone digestion is high too, around ninety. As for the feather maintenance, there's no data. The severity of this assessment is four.","{
    ""ruleInstanceName"": ""eagle assessment"",
    ""severity"": ""4"",
    ""Scavenging efficiency"": ""80"",
    ""Flight altitude"": ""high"",
    ""Beak sharpness"": ""7"",
    ""Vision acuity"": ""excellent"",
    ""Wing span"": ""200"",
    ""Thermal riding skill"": ""expert"",
    ""Bone digestion"": ""90"",
    ""Feather maintenance"": ""null""
}",Vulture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VultureD1Q4,"We gotta set up an instance of the Eagle Assessment pronto. We're looking at a severity of four, so no laughing matter. The scavenging efficiency? Around eighty percent, not too shabby. The flight altitude, you ask? High, as in way up there. The beak sharpness is pretty decent, rating a seven. The vision acuity is excellent - this bird sees everything. Wing span is a solid two hundred, and the thermal riding skill is expert level. Bone digestion is at ninety percent, which is pretty impressive. Feather maintenance, well, we don't have data on that just yet.","{
    ""ruleInstanceName"": ""eagle assessment"",
    ""severity"": ""4"",
    ""Scavenging efficiency"": ""80"",
    ""Flight altitude"": ""high"",
    ""Beak sharpness"": ""7"",
    ""Vision acuity"": ""excellent"",
    ""Wing span"": ""200"",
    ""Thermal riding skill"": ""expert"",
    ""Bone digestion"": ""90"",
    ""Feather maintenance"": ""null""
}",Vulture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VultureD1Q5,"An instance of Eagle Assessment needs to be carried out, focusing on the ruleInstanceName parameter. The eagle's scavenging efficiency stands at a solid, um, eighty. But the severity of the assessment is a bit higher, let's say something like four. The flight altitude of the eagle is high, and the sharpness of the beak is seven. The vision acuity of the eagle is excellent, with a wingspan reaching two hundred. The thermal riding skill of the eagle is classified as expert. The bone digestion efficiency is around ninety, but the feather maintenance is still a blank slate.","{
    ""ruleInstanceName"": ""eagle assessment"",
    ""severity"": ""4"",
    ""Scavenging efficiency"": ""80"",
    ""Flight altitude"": ""high"",
    ""Beak sharpness"": ""7"",
    ""Vision acuity"": ""excellent"",
    ""Wing span"": ""200"",
    ""Thermal riding skill"": ""expert"",
    ""Bone digestion"": ""90"",
    ""Feather maintenance"": ""null""
}",Vulture,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VultureD2Q2,"We need to create an instance of Falcon Evaluation, the bird we are dealing with here is a falcon. On the scavenging efficiency, it scored like, um, seventy. The beak sharpness is a bit high, something around eight. The bird's vision acuity is good, and its wing span is pretty wide, um, eighty. The thermal riding skill of the bird is intermediate. On bone digestion, it scores a whopping eighty-five. The feather maintenance of the bird is excellent, and the severity scale is at two.","{
    ""ruleInstanceName"": ""falcon evaluation"",
    ""severity"": ""2"",
    ""Scavenging efficiency"": ""70"",
    ""Flight altitude"": ""null"",
    ""Beak sharpness"": ""8"",
    ""Vision acuity"": ""good"",
    ""Wing span"": ""80"",
    ""Thermal riding skill"": ""intermediate"",
    ""Bone digestion"": ""85"",
    ""Feather maintenance"": ""excellent""
}",Vulture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VultureD2Q3,"An instance of ruleInstanceName - Falcon Evaluation needs to be created, dealing with the severity level two. The scavenging efficiency of this falcon is, let's say, seventy. However, the beak sharpness is much sharper, let's say something like eight. The falcon's vision acuity is good, and the wing span is, um, eighty. The level of thermal riding skill is intermediate. The bone digestion efficiency is much higher, at about eighty-five. And the feather maintenance? That's excellent.","{
    ""ruleInstanceName"": ""falcon evaluation"",
    ""severity"": ""2"",
    ""Scavenging efficiency"": ""70"",
    ""Flight altitude"": ""null"",
    ""Beak sharpness"": ""8"",
    ""Vision acuity"": ""good"",
    ""Wing span"": ""80"",
    ""Thermal riding skill"": ""intermediate"",
    ""Bone digestion"": ""85"",
    ""Feather maintenance"": ""excellent""
}",Vulture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VultureD2Q4,"We have to evaluate a falcon, with the instance name being falcon evaluation. The severity we're dealing with here is, um, two. Now, the scavenging efficiency of this fella is seventy. Flight altitude, however, is not available. The beak sharpness is pretty impressive, clocking in at eight. The bird's vision acuity is good. The wing span is, let's say, eighty. As for the thermal riding skill, it's intermediate. The bone digestion of our feathered friend is pretty good, about eighty-five. Lastly, the feather maintenance is excellent.","{
    ""ruleInstanceName"": ""falcon evaluation"",
    ""severity"": ""2"",
    ""Scavenging efficiency"": ""70"",
    ""Flight altitude"": ""null"",
    ""Beak sharpness"": ""8"",
    ""Vision acuity"": ""good"",
    ""Wing span"": ""80"",
    ""Thermal riding skill"": ""intermediate"",
    ""Bone digestion"": ""85"",
    ""Feather maintenance"": ""excellent""
}",Vulture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VultureD2Q5,"A Falcon Evaluation instance needs to be set up, assessing the falcon's characteristics. The bird's scavenging efficiency, let's say, is around seventy. The sharpness of its beak is reaching eight. The falcon's vision acuity is good, and it has a wing span of around eighty. The bird's thermal riding skill is intermediate, and it has an impressive bone digestion of eighty-five. The maintenance of its feathers is excellent, and the severity of this evaluation is two.","{
    ""ruleInstanceName"": ""falcon evaluation"",
    ""severity"": ""2"",
    ""Scavenging efficiency"": ""70"",
    ""Flight altitude"": ""null"",
    ""Beak sharpness"": ""8"",
    ""Vision acuity"": ""good"",
    ""Wing span"": ""80"",
    ""Thermal riding skill"": ""intermediate"",
    ""Bone digestion"": ""85"",
    ""Feather maintenance"": ""excellent""
}",Vulture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VultureD3Q1,"We need to create an instance named hawk analysis, focusing on the bird species of hawk. The intensity of the study is, well, three. However, the bird's beak sharpness appears to be higher, let's say around six. The bird is seen to fly at a medium altitude, and its vision acuity is average. The wing span of the bird measures one hundred and twenty, and its thermal riding skill is considered novice. The bird's ability to digest bones is seventy five, and its feather maintenance is good.","{
    ""ruleInstanceName"": ""hawk analysis"",
    ""severity"": ""3"",
    ""Scavenging efficiency"": ""null"",
    ""Flight altitude"": ""medium"",
    ""Beak sharpness"": ""6"",
    ""Vision acuity"": ""average"",
    ""Wing span"": ""120"",
    ""Thermal riding skill"": ""novice"",
    ""Bone digestion"": ""75"",
    ""Feather maintenance"": ""good""
}",Vulture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
